reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,scam_related
66173f58-0bf1-404a-8d42-e7c1dbfa797f,Craig Bowden,https://play-lh.googleusercontent.com/a-/ALV-UjX2psZ-AtESqS6HToFYQx5PEOoZe_Lv8HU8DPzP7loWcj7hwkvt,"They banned me unexpectedly. The only match that I was talking with at the time said she got an email saying that I was removed for fraudulent activity. I appealed the ban and stated I had no idea what was happening. I had been on the app for several years, and I'm an avid rule follower. They upheld the ban without telling me anything.",1,0,7.23.0,2024-11-26 02:39:45,,,7.23.0,True
4725e5e5-0ee3-4ed5-a0f3-bb61fae68294,Zac Voorhees,https://play-lh.googleusercontent.com/a/ACg8ocK5p7W3XVSq6b6dEPfgbbPkkku51Du6aH1yDz3Sf77o6ktEQw=mo,Hate it so many fake accounts horrible experience,1,0,,2024-11-25 19:24:39,,,,True
83135619-18b0-46ff-ba99-a46eb5c2a169,M S,https://play-lh.googleusercontent.com/a-/ALV-UjXYLVLqXf9F8xiHl7QpwHgrN9qg2SskplBiYOCh0KDosB2ygVF8,I know I'm not the most handsome dude in the world but I know I'm not ugly AF either. Yet I've gotten no matches the last several times I've refreshed my account. I had one match once and got one response from them then nothing ever again. Probably was a fake account.,1,0,,2024-11-25 06:21:08,,,,True
8708dd79-76a4-4a7b-b289-e405e27a9c0e,appalachian woods,https://play-lh.googleusercontent.com/a/ACg8ocJ-Tq98BP4HVDWVHGLSUf-SCW4PppaS9MkWZDPZSivmj3n1eg=mo,"There are lots of fake bots. As soon as I made a profile, I got ppl interested, but they were the same as others fake. I'm convinced all of these apps are just by what I've seen from others' works on a point system, and of course, they want you to pay .",1,0,9.62.0,2024-11-24 17:23:57,,,9.62.0,True
50b16329-3713-41bd-9cc9-b7d4aa064f92,R V,https://play-lh.googleusercontent.com/a/ACg8ocKSzYOvYx4DDt4OOlscqLJiYowO1ejc54sc-s7v-d9HQICTOQ=mo,"Ladies please don't fall for them , fake accounts and scams , playing love games with woman and in the end asking for money, thank God I didn't fall for it 🤬. Very disappointed, even the verified accounts I won't trust anymore on this application",1,0,,2024-11-24 01:39:33,,,,True
e47944d7-b636-47d2-9acc-3e6452e964fc,Vincent Kolasa,https://play-lh.googleusercontent.com/a-/ALV-UjWPdtBePc7ymYYzpylg6FE3zKyIWcARHyd48QjEaxdf6bD4ThI-,Don't waste your time. I thought this would be helpful. Paid for their premium on the 30th of April and it expired today. Here are the stats: 0 likes received. 2097 likes sent. Got 22 matches total. 7 matches ended up being removed for fraudulent activity. So 15 legit matches and 80% of them wouldn't talk after 3 days but stay matched. I had ONE date from this app. App says it ran out of people but yet continues to show them under the standout section. Love is dead and I'm so disappointed.,1,4,9.62.0,2024-11-23 07:03:04,,,9.62.0,True
5c582411-16a4-4fbe-97a3-a1ba5cd126e9,Nikhil Abi,https://play-lh.googleusercontent.com/a-/ALV-UjVG1G3fhEfckBvp_REstxhGmObd75DFY8xK0BPwR6E89mJaTU0h,"This company is the biggest fraud. I bought a premium subscription just to see how it is at night and went to sleep. In the morning my account was banned. I thought it was a mistake and appealed it. Within 5 seconds of me appealing I get an email saying,after careful consideration from our team my appeal is rejected. How is it even possible to review it in 5 seconds. They won't even tell me why I have been banned or what violation I've made. They've not even given me a refund. DONT buy a sub.",1,3,9.62.0,2024-11-23 04:51:24,,,9.62.0,True
39590056-ddcd-40e8-9487-774baddd7ad4,Jamie,https://play-lh.googleusercontent.com/a-/ALV-UjVgifXbggwdGr5WrSdqyMymH7BQMl1Lrhvy8bLHbn7WydLb066D,"way too many fake profiles, I'm uninstalling this app",1,2,9.62.0,2024-11-23 03:28:32,,,9.62.0,True
d18591cc-bbeb-47b4-a895-b6603ce476e6,Oklahoma Hunter,https://play-lh.googleusercontent.com/a-/ALV-UjU2fm3-QtVAl7jz6O8oCa4bSCjpeg2Le_SXqp_JrfqjnlYbvDPL,"I've managed to actually meet a couple of people on this app. BUT this app is infested with fake accounts and you have to pay for EVERYTHING! Even with the premium, you have to pay a ridiculous monthly fee and still have to pay for their ""roses, spotlights and boosts"" which is pointless. You can't even see the people who like your profile without paying a subscription plan and their match system is awful. Customer support? Ha, that's funny!",2,0,9.62.0,2024-11-25 01:59:30,,,9.62.0,True
77eddfed-7db2-4d2f-b25a-74ecb7388ac2,Celsius,https://play-lh.googleusercontent.com/a-/ALV-UjU3t6wFghGgRzJfGMVNQk8DiYIOhAW6zQKBY6o-2mAVVFUv45bD,"Hinge is a scam, please please please don't pay for this app. Not many are using this app. So it is hard to match with anyone. I have even been able to go through all the singles in my area in a week. So now I can't do anything more in the app. It is not worth the money. Don't pay.",2,2,9.59.0,2024-11-23 01:03:18,,,9.59.0,True
